eval_loss,eval_accuracy,eval_f1,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,training_duration_minutes,model_variant,timestamp,fold
0.007799111306667328,0.9971264367816092,0.9971352273759221,4.2343,410.934,12.989,5.0,6.420172907633241,original,2025-12-12 09:32:50,fold_4
0.0013943000230938196,0.9994252873563219,0.9994252474429498,3.656,475.926,15.044,5.0,6.337921052082675,original,2025-12-12 09:32:50,fold_3
0.0017284734640270472,0.9988505747126437,0.9988504948858996,3.6596,475.459,15.029,5.0,6.371241282649377,original,2025-12-12 09:32:50,fold_2
0.0039779325015842915,0.9988505747126437,0.9988551667133784,3.7184,467.941,14.791,5.0,6.40173239861712,original,2025-12-12 09:32:50,fold_5
0.0018689825665205717,0.9994252873563219,0.9994252474429498,4.0101,433.906,13.715,5.0,6.441188597216387,original,2025-12-12 09:32:50,fold_17
0.006005589850246906,0.9977011494252873,0.9977009897717992,3.6174,481.009,15.204,5.0,6.406310788183085,original,2025-12-12 09:32:50,fold_10
0.011732218787074089,0.9988505747126437,0.9988504948858996,3.7224,467.44,14.775,5.0,6.373741369433507,original,2025-12-12 09:32:50,fold_11
0.003352490719407797,0.9988505747126437,0.9988502553391269,3.658,475.673,15.036,5.0,6.419041792366382,original,2025-12-12 09:32:50,fold_16
0.0006312000332400203,1.0,1.0,3.6637,474.93,15.012,5.0,6.388348600682608,original,2025-12-12 09:32:50,fold_9
0.004883729387074709,0.9982758620689656,0.9982757423288494,3.6871,471.919,14.917,5.0,6.384006408333274,original,2025-12-12 09:32:50,fold_7
0.0015390528133139014,0.9994252873563219,0.9994252474429498,3.6551,476.05,15.048,5.0,6.375067959717126,original,2025-12-12 09:32:50,fold_6
0.0020377517212182283,0.9994252873563219,0.9994252474429498,3.8252,454.88,14.378,5.0,6.3543791798671005,original,2025-12-12 09:32:50,fold_1
0.01900995895266533,0.9977011494252873,0.9977007502250264,4.1245,421.869,13.335,5.0,6.3713480492995584,original,2025-12-12 09:32:50,fold_8
0.007027418818324804,0.9994252873563219,0.9994252474429498,3.652,476.448,15.06,5.0,6.393881899316329,original,2025-12-12 09:32:50,fold_13
0.0021198303438723087,0.9988505747126437,0.9988504948858996,3.8622,450.516,14.24,5.0,6.639787947917163,original,2025-12-12 09:32:50,fold_14
0.004232287872582674,0.9988505747126437,0.9988504948858996,3.7495,464.06,14.669,5.0,6.541732507650158,original,2025-12-12 09:32:50,fold_15
0.007555878255516291,0.9988505747126437,0.9988551667133784,3.6481,476.96,15.076,5.0,6.362056787500236,original,2025-12-12 09:32:50,fold_12
0.002988989930599928,0.9982758620689656,0.9982757423288495,3.6955,470.839,14.883,5.0,6.40781320486664,leakyrelu,2025-12-12 06:50:03,fold_4
0.007070186082273722,0.9982758620689656,0.9982757423288495,3.6831,472.432,14.933,5.0,6.4022137083326625,leakyrelu,2025-12-12 06:50:03,fold_3
0.004871663637459278,0.9982758620689656,0.9982758221555935,3.5948,484.035,15.3,5.0,6.5764094757003475,leakyrelu,2025-12-12 06:50:03,fold_2
0.022338271141052246,0.996551724137931,0.9965505261376956,3.8104,456.646,14.434,5.0,6.391651705549642,leakyrelu,2025-12-12 06:50:03,fold_5
0.0028666413854807615,0.9994252873563219,0.9994252474429498,3.7271,466.847,14.757,5.0,6.374352540266894,leakyrelu,2025-12-12 06:50:03,fold_19
0.0011698706075549126,0.9994252873563219,0.9994252474429498,3.7082,469.227,14.832,5.0,6.397817232633437,leakyrelu,2025-12-12 06:50:03,fold_21
0.0006341558764688671,1.0,1.0,3.7877,459.386,14.521,5.0,6.365882340284103,leakyrelu,2025-12-12 06:50:03,fold_17
0.0029004476964473724,0.9988505747126437,0.9988504948858996,3.8689,449.74,14.216,5.0,6.383726656950118,leakyrelu,2025-12-12 06:50:03,fold_10
0.0015436558751389384,0.9994252873563219,0.9994252474429498,3.8899,447.315,14.139,5.0,6.508877643066808,leakyrelu,2025-12-12 06:50:03,fold_11
0.002986176870763302,0.9994252873563219,0.9994252474429498,3.8084,456.887,14.442,5.0,6.4083174937492,leakyrelu,2025-12-12 06:50:03,fold_16
0.0036310607101768255,0.9988505747126437,0.9988504948858996,3.9472,440.818,13.934,5.0,6.4969009687493475,leakyrelu,2025-12-12 06:50:03,fold_20
0.02575419843196869,0.9988505747126437,0.9988502553391269,3.8391,453.228,14.326,5.0,6.425307986116968,leakyrelu,2025-12-12 06:50:03,fold_18
0.0045501855202019215,0.9988505747126437,0.9988504948858996,4.1026,424.117,13.406,5.0,6.498563067366679,leakyrelu,2025-12-12 06:50:03,fold_9
0.000154072797158733,1.0,1.0,3.7314,466.313,14.74,5.0,6.3704129298673555,leakyrelu,2025-12-12 06:50:03,fold_7
0.003068267833441496,0.9988505747126437,0.9988504948858996,3.7604,462.715,14.626,5.0,6.3998690145837225,leakyrelu,2025-12-12 06:50:03,fold_6
0.0006887451163493097,1.0,1.0,3.8159,455.981,14.413,5.0,6.620460375000645,leakyrelu,2025-12-12 06:50:03,fold_1
0.004148121457546949,0.9988505747126437,0.9988502553391269,3.8115,456.513,14.43,5.0,6.491857010417152,leakyrelu,2025-12-12 06:50:03,fold_8
0.023972755298018456,0.9977011494252873,0.9977000312517958,3.795,458.502,14.493,5.0,6.403706795833811,leakyrelu,2025-12-12 06:50:03,fold_22
0.0016750091454014182,1.0,1.0,3.8048,457.323,14.456,5.0,6.4925555645837445,leakyrelu,2025-12-12 06:50:03,fold_25
